ConfigId,ConfigCode,ModelVersion,Timeframe,DeviationPct,Ticker,SwingSeq,Direction,StartPivotSeq,StartPivotType,StartDate,StartPrice,EndPivotSeq,EndPivotType,EndDate,EndPrice,ConfirmedAtDate,SwingPct,CalendarDays
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,258,DOWN,258,HIGH,2025-11-18,81.92,259,LOW,2025-11-21,76.9,2025-12-03,-0.061279296875,3
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,259,UP,259,LOW,2025-11-21,76.9,260,HIGH,2025-12-04,84.88,2025-12-12,0.10377113133940163,13
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,260,DOWN,260,HIGH,2025-12-04,84.88,261,LOW,2025-12-16,76.31,2025-12-17,-0.10096606974552302,12
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,261,UP,261,LOW,2025-12-16,76.31,262,HIGH,2025-12-25,88.62,2026-01-15,0.16131568601755997,9
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,262,DOWN,262,HIGH,2025-12-25,88.62,263,LOW,2025-12-26,81.33,2026-01-16,-0.08226134055517953,1
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,263,UP,263,LOW,2025-12-26,81.33,264,HIGH,2026-02-03,92.95,2026-02-06,0.14287470797983537,39
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,264,DOWN,264,HIGH,2026-02-03,92.95,265,LOW,2026-02-06,84.68,2026-02-11,-0.08897256589564273,3
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,265,UP,265,LOW,2026-02-06,84.68,266,HIGH,2026-02-26,92.85,2026-03-03,0.09648086915446363,20
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,266,DOWN,266,HIGH,2026-02-26,92.85,267,LOW,2026-03-09,75.82,2026-03-10,-0.18341410877759834,11
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,267,UP,267,LOW,2026-03-09,75.82,268,HIGH,2026-03-11,85.27,2026-03-13,0.12463729886573471,2
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,268,DOWN,268,HIGH,2026-03-11,85.27,269,LOW,2026-03-23,73.06,2026-03-25,-0.14319221297056406,12
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,269,UP,269,LOW,2026-03-23,73.06,270,HIGH,2026-04-01,82.61,2026-04-03,0.130714481248289,9
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,270,DOWN,270,HIGH,2026-04-01,82.61,271,LOW,2026-04-07,75.43,2026-04-08,-0.08691441714078185,6
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,271,UP,271,LOW,2026-04-07,75.43,272,HIGH,2026-04-20,87.14,2026-04-24,0.15524327190772902,13
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,272,DOWN,272,HIGH,2026-04-20,87.14,273,LOW,2026-05-20,73.06,2026-05-21,-0.1615790681661694,30
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,273,UP,273,LOW,2026-05-20,73.06,274,HIGH,2026-05-22,79.76,2026-05-29,0.09170544757733379,2
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,274,DOWN,274,HIGH,2026-05-22,79.76,275,LOW,2026-06-24,73.85,2026-06-29,-0.07409729187562697,33
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,275,UP,275,LOW,2026-06-24,73.85,276,HIGH,2026-07-02,80.15,2026-07-10,0.08530805687203813,8
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,276,DOWN,276,HIGH,2026-07-02,80.15,277,LOW,2026-07-28,61.54,2026-07-29,-0.23218964441671874,26
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,277,UP,277,LOW,2026-07-28,61.54,278,HIGH,2026-08-27,75.9,2026-09-07,0.2333441663958402,30
1,ZZ_D_5_MVP,MVP1,D,0.05,MWG,278,DOWN,278,HIGH,2026-08-27,75.9,279,LOW,2026-09-14,68.6,2026-09-17,-0.09617918313570506,18
